
Computer moves      Computer1 moves     
 R  31.02 %          R  37.71 %
 P  37.31 %          P  31.14 %
 S  31.67 %          S  31.15 %


 Computer Computer1   WINNER  
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         S         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    R         R         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    S         S         -     
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    S         S         -     
    S         S         -     
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         S         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         S         -     
    S         S         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    S         S         -     
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         P         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    P         P         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    R         R         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    S         S         -     
    P         P         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    S         S         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    S         S         -     
    R         R         -     
    P         P         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    S         S         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    R         R         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    R         R         -     
    S         P      Computer 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    R         R         -     
    S         S         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         S         -     
    S         S         -     
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    S         S         -     
    P         P         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         S         -     
    S         S         -     
    P         P         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         S         -     
    R         R         -     
    P         P         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    S         S         -     
    P         P         -     
    R         R         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    P         P         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    S         S         -     
    S         S         -     
    P         P         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    P         P         -     
    R         R         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         P         -     
    P         P         -     
    P         P         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    P         P         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    P         P         -     
    P         P         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    P         P         -     
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    P         P         -     
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    R         R         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    S         S         -     
    S         R     Computer1 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         S      Computer 
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    P         P         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         S     Computer1 
    R         R         -     
    R         R         -     
    S         R     Computer1 
    P         P         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         S      Computer 
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    P         S     Computer1 
    R         R         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    R         R         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    S         R     Computer1 
    P         P         -     
    P         P         -     
    R         P      Computer 
    P         R      Computer 
    S         S         -     
    R         S      Computer 
    P         P         -     
    R         R         -     
    P         S     Computer1 
    R         R         -     
    S         P      Computer 
    R         R         -     
    P         S     Computer1 
    R         R         -     
    P         P         -     
    P         R      Computer 
    S         S         -     
    P         R      Computer 
    S         S         -     
    S         P      Computer 
    R         R         -     
    P         P         -     
    S         R     Computer1 
    P         P         -     
    R         R         -     
    S         S         -     
